Export File Created with QBlade v0.963 64bit on 16.05.2021 at 12:34:27
         CD = 1.2      360 Polar     T1_Re0.050_M0.00_N9.0 360 M
Alpha [deg];Cd;Alpha [deg];Cd;
     1,77000e+02;     1,20000e+00;     1,49000e+02;     4,75049e-01;
     1,78000e+02;     1,20000e+00;     1,50000e+02;     4,47757e-01;
     1,79000e+02;     1,20000e+00;     1,51000e+02;     4,21036e-01;
     1,80000e+02;     1,20000e+00;     1,52000e+02;     3,94919e-01;
;;     1,53000e+02;     3,69436e-01;
;;     1,54000e+02;     3,44618e-01;
;;     1,55000e+02;     3,20493e-01;
;;     1,56000e+02;     2,97089e-01;
;;     1,57000e+02;     2,74434e-01;
;;     1,58000e+02;     2,52555e-01;
;;     1,59000e+02;     2,31475e-01;
;;     1,60000e+02;     2,11219e-01;
;;     1,61000e+02;     1,91811e-01;
;;     1,62000e+02;     1,73272e-01;
;;     1,63000e+02;     1,55623e-01;
;;     1,64000e+02;     1,38883e-01;
;;     1,65000e+02;     1,23071e-01;
;;     1,66000e+02;     1,08205e-01;
;;     1,67000e+02;     9,42995e-02;
;;     1,68000e+02;     8,13702e-02;
;;     1,69000e+02;     6,94304e-02;
;;     1,70000e+02;     5,84924e-02;
;;     1,71000e+02;     4,85673e-02;
;;     1,72000e+02;     3,96648e-02;
;;     1,73000e+02;     3,17933e-02;
;;     1,74000e+02;     2,49600e-02;
;;     1,75000e+02;     1,91708e-02;
;;     1,76000e+02;     1,44303e-02;
;;     1,77000e+02;     1,07416e-02;
;;     1,78000e+02;     8,10678e-03;
;;     1,79000e+02;     6,52647e-03;
;;     1,80000e+02;     6,00006e-03;

