Export File Created with QBlade v0.963 64bit on 16.05.2021 at 12:34:27
         CD = 1.2      360 Polar     T1_Re0.050_M0.00_N9.0 360 M
Alpha [deg];Cd;Alpha [deg];Cd;
    -1,01000e+02;     1,20000e+00;    -1,01000e+02;     1,59367e+00;
    -1,00000e+02;     1,20000e+00;    -1,00000e+02;     1,60371e+00;
    -9,90000e+01;     1,20000e+00;    -9,90000e+01;     1,61283e+00;
    -9,80000e+01;     1,20000e+00;    -9,80000e+01;     1,62102e+00;
    -9,70000e+01;     1,20000e+00;    -9,70000e+01;     1,62827e+00;
    -9,60000e+01;     1,20000e+00;    -9,60000e+01;     1,63456e+00;
    -9,50000e+01;     1,20000e+00;    -9,50000e+01;     1,63990e+00;
    -9,40000e+01;     1,20000e+00;    -9,40000e+01;     1,64427e+00;
    -9,30000e+01;     1,20000e+00;    -9,30000e+01;     1,64767e+00;
    -9,20000e+01;     1,20000e+00;    -9,20000e+01;     1,65009e+00;
    -9,10000e+01;     1,20000e+00;    -9,10000e+01;     1,65154e+00;
    -9,00000e+01;     1,20000e+00;    -9,00000e+01;     1,65201e+00;
    -8,90000e+01;     1,20000e+00;    -8,90000e+01;     1,65150e+00;
    -8,80000e+01;     1,20000e+00;    -8,80000e+01;     1,65002e+00;
    -8,70000e+01;     1,20000e+00;    -8,70000e+01;     1,64755e+00;
    -8,60000e+01;     1,20000e+00;    -8,60000e+01;     1,64411e+00;
    -8,50000e+01;     1,20000e+00;    -8,50000e+01;     1,63971e+00;
    -8,40000e+01;     1,20000e+00;    -8,40000e+01;     1,63433e+00;
    -8,30000e+01;     1,20000e+00;    -8,30000e+01;     1,62800e+00;
    -8,20000e+01;     1,20000e+00;    -8,20000e+01;     1,62072e+00;
    -8,10000e+01;     1,20000e+00;    -8,10000e+01;     1,61249e+00;
    -8,00000e+01;     1,20000e+00;    -8,00000e+01;     1,60333e+00;
    -7,90000e+01;     1,20000e+00;    -7,90000e+01;     1,59325e+00;
    -7,80000e+01;     1,20000e+00;    -7,80000e+01;     1,58225e+00;
    -7,70000e+01;     1,20000e+00;    -7,70000e+01;     1,57036e+00;
    -7,60000e+01;     1,20000e+00;    -7,60000e+01;     1,55758e+00;
    -7,50000e+01;     1,20000e+00;    -7,50000e+01;     1,54393e+00;
    -7,40000e+01;     1,20000e+00;    -7,40000e+01;     1,52942e+00;
    -7,30000e+01;     1,20000e+00;    -7,30000e+01;     1,51408e+00;
    -7,20000e+01;     1,20000e+00;    -7,20000e+01;     1,49792e+00;
    -7,10000e+01;     1,20000e+00;    -7,10000e+01;     1,48095e+00;
    -7,00000e+01;     1,20000e+00;    -7,00000e+01;     1,46321e+00;
    -6,90000e+01;     1,20000e+00;    -6,90000e+01;     1,44470e+00;
    -6,80000e+01;     1,20000e+00;    -6,80000e+01;     1,42545e+00;
    -6,70000e+01;     1,20000e+00;    -6,70000e+01;     1,40548e+00;
    -6,60000e+01;     1,20000e+00;    -6,60000e+01;     1,38482e+00;
    -6,50000e+01;     1,20000e+00;    -6,50000e+01;     1,36349e+00;
    -6,40000e+01;     1,20000e+00;    -6,40000e+01;     1,34151e+00;
    -6,30000e+01;     1,20000e+00;    -6,30000e+01;     1,31891e+00;
    -6,20000e+01;     1,20000e+00;    -6,20000e+01;     1,29572e+00;
    -6,10000e+01;     1,20000e+00;    -6,10000e+01;     1,27196e+00;
    -6,00000e+01;     1,20000e+00;    -6,00000e+01;     1,24767e+00;
    -5,90000e+01;     1,20000e+00;    -5,90000e+01;     1,22286e+00;
    -5,80000e+01;     1,20000e+00;    -5,80000e+01;     1,19757e+00;
    -5,70000e+01;     1,20000e+00;    -5,70000e+01;     1,17183e+00;
    -5,60000e+01;     1,20000e+00;    -5,60000e+01;     1,14567e+00;
    -5,50000e+01;     1,20000e+00;    -5,50000e+01;     1,11912e+00;
    -5,40000e+01;     1,20000e+00;    -5,40000e+01;     1,09221e+00;
    -5,30000e+01;     1,20000e+00;    -5,30000e+01;     1,06497e+00;
    -5,20000e+01;     1,20000e+00;    -5,20000e+01;     1,03744e+00;
    -5,10000e+01;     1,20000e+00;    -5,10000e+01;     1,00964e+00;
    -5,00000e+01;     1,20000e+00;    -5,00000e+01;     9,81619e-01;
    -4,90000e+01;     1,20000e+00;    -4,90000e+01;     9,53398e-01;
    -4,80000e+01;     1,20000e+00;    -4,80000e+01;     9,25015e-01;
    -4,70000e+01;     1,20000e+00;    -4,70000e+01;     8,96503e-01;
    -4,60000e+01;     1,20000e+00;    -4,60000e+01;     8,67898e-01;
    -4,50000e+01;     1,20000e+00;    -4,50000e+01;     8,39232e-01;
    -4,40000e+01;     1,20000e+00;    -4,40000e+01;     8,10541e-01;
    -4,30000e+01;     1,20000e+00;    -4,30000e+01;     7,81859e-01;
    -4,20000e+01;     1,20000e+00;    -4,20000e+01;     7,53221e-01;
    -4,10000e+01;     1,20000e+00;    -4,10000e+01;     7,24662e-01;
    -4,00000e+01;     1,20000e+00;    -4,00000e+01;     6,96216e-01;
    -3,90000e+01;     1,20000e+00;    -3,90000e+01;     6,67918e-01;
    -3,80000e+01;     1,20000e+00;    -3,80000e+01;     6,39802e-01;
    -3,70000e+01;     1,20000e+00;    -3,70000e+01;     6,11903e-01;
    -3,60000e+01;     1,20000e+00;    -3,60000e+01;     5,84256e-01;
    -3,50000e+01;     1,20000e+00;    -3,50000e+01;     5,56893e-01;
    -3,40000e+01;     1,20000e+00;    -3,40000e+01;     5,29850e-01;
    -3,30000e+01;     1,20000e+00;    -3,30000e+01;     5,03160e-01;
    -3,20000e+01;     1,20000e+00;    -3,20000e+01;     4,76856e-01;
    -3,10000e+01;     1,20000e+00;    -3,10000e+01;     4,50970e-01;
    -3,00000e+01;     1,20000e+00;    -3,00000e+01;     4,25536e-01;
    -2,90000e+01;     1,20000e+00;    -2,90000e+01;     4,00586e-01;
    -2,80000e+01;     1,20000e+00;    -2,80000e+01;     3,76150e-01;
    -2,70000e+01;     1,20000e+00;    -2,70000e+01;     3,52261e-01;
    -2,60000e+01;     1,20000e+00;    -2,60000e+01;     3,28948e-01;
    -2,50000e+01;     1,20000e+00;    -2,50000e+01;     3,06241e-01;
    -2,40000e+01;     1,20000e+00;    -2,40000e+01;     2,84171e-01;
    -2,30000e+01;     1,20000e+00;    -2,30000e+01;     2,62765e-01;
